Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	11134.800	22194.400	BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	11134.800	22194.400	BIO	INSECT	
2	Waveform 1	1	0.284090884	59.999994792	7072.100	8426.300	BIO	INSECT	
2	Spectrogram 1	1	0.284090884	59.999994792	7072.100	8426.300	BIO	INSECT	
3	Waveform 1	1	0.397727238	59.999994792	4589.300	5868.300	BIO	INSECT	
3	Spectrogram 1	1	0.397727238	59.999994792	4589.300	5868.300	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	3235.100	3987.500	BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	3235.100	3987.500	BIO	INSECT	
5	Waveform 1	1	40.624996474	57.045449594	1730.400	3159.900	BIO	AVEVOC	CROANY
5	Spectrogram 1	1	40.624996474	57.045449594	1730.400	3159.900	BIO	AVEVOC	CROANY
6	Waveform 1	1	36.647724092	52.045450028	0.000	902.800		PULSOS	
6	Spectrogram 1	1	36.647724092	52.045450028	0.000	902.800		PULSOS	
