Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.804872857	0.000	502.600	ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.804872857	0.000	502.600	ANT	TRAMOT	
2	Waveform 1	1	0.000000000	59.853653341	1633.500	2575.900	BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.853653341	1633.500	2575.900	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.951214308	2952.900	4146.600	BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.951214308	2952.900	4146.600	BIO	INSECT	
4	Waveform 1	1	0.097560967	59.853653341	4649.200	6157.100	BIO	INSECT	
4	Spectrogram 1	1	0.097560967	59.853653341	4649.200	6157.100	BIO	INSECT	
5	Waveform 1	1	0.000000000	12.829267179	4272.300	4523.600	BIO	INSECT	
5	Spectrogram 1	1	0.000000000	12.829267179	4272.300	4523.600	BIO	INSECT	
6	Waveform 1	1	0.048780484	59.951214308	7162.300	8921.500	BIO	INSECT	
6	Spectrogram 1	1	0.048780484	59.951214308	7162.300	8921.500	BIO	INSECT	
7	Waveform 1	1	0.000000000	11.219511221	8356.000	52460.700	BIO	INSECT	
7	Spectrogram 1	1	0.000000000	11.219511221	8356.000	52460.700	BIO	INSECT	
8	Waveform 1	1	47.365849547	59.999994792	8217.000	23672.500	BIO	INSECT	
8	Spectrogram 1	1	47.365849547	59.999994792	8217.000	23672.500	BIO	INSECT	
9	Waveform 1	1	0.000000000	59.902433825	10240.800	12062.800	BIO	INSECT	
9	Spectrogram 1	1	0.000000000	59.902433825	10240.800	12062.800	BIO	INSECT	
10	Waveform 1	1	3.560975301	36.731704129	15455.500	17717.300	BIO	INSECT	
10	Spectrogram 1	1	3.560975301	36.731704129	15455.500	17717.300	BIO	INSECT	
11	Waveform 1	1	38.878045406	39.658533143	10994.800	21424.100	BIO	INSECT	
11	Spectrogram 1	1	38.878045406	39.658533143	10994.800	21424.100	BIO	INSECT	
