,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Center Freq (Hz),Tipo,Id,Determinacion,Comportamiento,Calidad,fname,fname_annot,sensor_name
0,0.0,59.999994792,2732.548,3279.058,3000.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
1,0.0,59.999994792,3624.222,4515.896,4125.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
2,0.0,59.999994792,4717.241,5206.223,4875.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
3,0.0,59.999994792,5206.223,5867.788,5250.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
4,0.0,59.999994792,6356.77,6960.807,6750.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
5,0.0,59.999994792,7181.219,7670.202,7500.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
6,0.0,59.999994792,7900.311,8533.112,8250.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
7,1.098265801,58.901728991,8465.88,10882.028,9000.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
8,1.040462337,59.999994792,13836.22,20164.226,16875.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
9,52.399469063,56.159805376,7945.472,35558.649,15750.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
10,0.0,59.999994792,33242.718,41941.748,37875.0,BIO,INSECT,,,BUENO,G001_20220328_193000.WAV,G001_20220328_193000.txt,G001
11,1.329479653,59.24854977,17603.363,26692.682,20625.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
12,0.0,59.999994792,7077.966,8054.237,7500.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
13,0.520231169,11.618496101,6549.153,6752.542,6750.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
14,7.919074457,14.450865798,5816.949,6264.407,6000.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
15,28.843928132,35.260112546,5816.949,6427.119,6000.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
16,0.520231169,59.999994792,4759.322,5206.78,4875.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
17,0.0,59.999994792,3823.729,4108.475,4125.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
18,0.0,59.999994792,2806.78,3132.203,3000.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
19,0.0,59.999994792,5654.237,6264.407,6000.0,BIO,INSECT,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
20,3.179190475,5.549132466,1993.22,2440.678,2250.0,BIO,AVEVOC,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
21,16.531790472,18.959535926,2074.576,2481.356,2250.0,BIO,AVEVOC,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
22,31.791904755,33.87282943,2033.898,2440.678,2250.0,BIO,AVEVOC,,,BUENO,G001_20220402_060000.WAV,G001_20220402_060000.txt,G001
