25.000000	30.000000	LLUVIA
\	32833.878906	32833.878906
30.000000	35.000000	LLUVIA
\	32833.878906	32833.878906
35.000000	40.000000	LLUVIA
\	32833.878906	32833.878906
60.000000	65.000000	LLUVIA
\	32833.878906	32833.878906
65.000000	70.000000	LLUVIA
\	32833.878906	32833.878906
175.000000	181.000000	MURCIE
\	42943.722656	52640.695312
190.000000	195.000000	INSECT
\	3736.302078	43636.363281
220.000000	225.000000	LLUVIA
\	32833.878906	32833.878906
235.000000	240.000000	INSECT
\	2909.091064	44606.058594
