20.017094	25.008547	LLUVIA
\	545.891138	83212.718750
25.008547	30.000000	LLUVIA
\	16604.375000	19658.050781
30.000000	35.025641	LLUVIA
\	16986.083984	18322.068359
35.025641	39.982906	LLUVIA
\	20803.179688	23856.859375
50.034188	55.008547	LLUVIA
\	19276.341797	20421.470703
55.008547	60.017094	LLUVIA
\	19276.341797	23093.439453
60.017094	65.008547	LLUVIA
\	21566.599609	21757.455078
65.008547	70.017094	LLUVIA
\	14123.260742	15840.955078
190.000000	194.495726	MURCIE
\	33590.457031	62218.687500
230.017094	234.991453	SENSAT
\	8970.178711	38170.972656
