35.000000	40.000000	MURCIE
\	12902.050781	24710.707031
40.000000	45.000000	MURCIE
\	12902.050781	24710.707031
45.000000	50.000000	MURCIE
\	12902.050781	24710.707031
50.000000	55.000000	MURCIE
\	11347.937906	21734.185810
185.000000	189.982906	MURCIE
\	24944.265933	48881.881362
190.000000	195.000000	MURCIE
\	28646.925781	48328.015625
210.000000	215.000000	MURCIE
\	28646.925781	48328.015625
220.000000	225.000000	INSECT
\	3717.539795	41986.332031
225.000000	230.000000	INSECT
\	3717.539795	41986.332031
