Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	5416.900	6319.700	BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	5416.900	6319.700	BIO	INSECT	
2	Waveform 1	1	20.568180033	32.329542648	6319.700	6695.900	BIO	INSECT	
2	Spectrogram 1	1	20.568180033	32.329542648	6319.700	6695.900	BIO	INSECT	
3	Waveform 1	1	19.431816495	29.715906511	300.900	978.100	BIO	AVEVOC	PATCAY
3	Spectrogram 1	1	19.431816495	29.715906511	300.900	978.100	BIO	AVEVOC	PATCAY
4	Waveform 1	1	0.000000000	53.693177157	677.100	2708.500	BIO	AVEVOC	CERNIG
4	Spectrogram 1	1	0.000000000	53.693177157	677.100	2708.500	BIO	AVEVOC	CERNIG
5	Waveform 1	1	1.477272599	40.511360120	2708.500	3536.100	BIO	AVEVOC	
5	Spectrogram 1	1	1.477272599	40.511360120	2708.500	3536.100	BIO	AVEVOC	
6	Waveform 1	1	41.306814596	43.806814379	2708.500	3987.500	BIO	AVEVOC	HYLFLA
6	Spectrogram 1	1	41.306814596	43.806814379	2708.500	3987.500	BIO	AVEVOC	HYLFLA
7	Waveform 1	1	52.954540858	55.340904287	2558.000	3837.000	BIO	AVEVOC	HYLFLA
7	Spectrogram 1	1	52.954540858	55.340904287	2558.000	3837.000	BIO	AVEVOC	HYLFLA
8	Waveform 1	1	10.056817309	19.431816495	18808.800	19260.200	BIO		
8	Spectrogram 1	1	10.056817309	19.431816495	18808.800	19260.200	BIO		
