5.000000	10.000000	LLUVIA
\	-1.000000	51750.000000
10.000000	15.000000	LLUVIA
\	-1.000000	51750.000000
15.000000	20.000000	LLUVIA
\	-1.000000	51750.000000
25.000000	30.000000	LLUVIA
\	-1.000000	51750.000000
55.000000	60.000000	MURCIE
\	20000.000000	44000.000000
180.000000	185.000000	MURCIE
\	10250.000000	59500.000000
195.000000	200.000000	MURCIE
\	41171.132812	64725.773438
210.000000	215.000000	MURCIE?
\	17416.708755	28305.156250
230.000000	235.000000	MURCIE?
\	15439.175781	29294.845703
235.000000	240.000000	MURCIE
\	15439.175781	29294.845703
