30.000000	35.000000	LLUVIA
\	-1.000000	45254.437500
55.000000	60.000000	LLUVIA
\	-1.000000	45254.437500
60.000000	65.000000	LLUVIA
\	-1.000000	45254.437500
65.000000	70.000000	LLUVIA
\	-1.000000	45254.437500
70.000000	75.000000	LLUVIA
\	-1.000000	45254.437500
75.000000	80.000000	LLUVIA
\	-1.000000	45254.437500
80.000000	85.000000	LLUVIA
\	-1.000000	45254.437500
115.000000	120.000000	AVEVOC
\	3597.633057	23668.638672
150.000000	155.000000	TYRMEL
\	2976.409123	16094.674805
185.000000	190.000000	INSECT
\	1591.162087	30106.509766
