0.000000	6.000000	INSECT
\	2092.184326	52328.660156
60.000000	65.000000	INSECT
\	3655.310547	44825.652344
60.000000	65.000000	AVEVOC
\	1923.847656	26741.484375
110.000000	115.000000	INSECT
\	6348.697266	54060.121094
145.000000	150.000000	INSECT
\	6541.082520	46749.500000
145.000000	150.000000	AVEVOC
\	2308.617188	15006.012695
170.000000	172.000000	PITSULF
\	741.912537	24432.867188
209.000000	215.000000	NYCALB
\	1083.730467	5386.773926
209.000000	215.000000	INSECT
\	2501.001953	43863.726562
215.000000	220.000000	INSECT
\	2116.232422	40593.187500
