40.000000	45.000000	INSECT
\	2294.117676	41470.585938
50.000000	55.000000	MURCIE
\	25988.011709	37235.296875
65.000000	70.000000	MILCHI
\	1764.705933	14470.587891
85.000000	90.000000	PULSOS
\	-1.000000	36529.414062
120.000000	125.000000	INSECT
\	6529.411621	36352.941406
200.000000	205.000000	TRAMOT
\	430.940645	682.322635
200.000000	205.000000	INSECT
\	4235.294434	54882.351562
220.000000	225.000000	INSECT
\	4235.294434	60529.410156
220.000000	225.000000	HERPET
\	1941.176514	9529.411133
220.000000	225.000000	MURCIE
\	15176.470703	27705.882812
