Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	16551.700	26783.700	BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	16551.700	26783.700	BIO	INSECT	
2	Waveform 1	1	0.000000000	1.818181660	8727.300	10156.700	BIO	INSECT	
2	Spectrogram 1	1	0.000000000	1.818181660	8727.300	10156.700	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	7072.100	8501.600	BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	7072.100	8501.600	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	5642.600	6620.700	BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	5642.600	6620.700	BIO	INSECT	
5	Waveform 1	1	28.863633858	35.227269669	6583.100	6959.200	BIO	INSECT	
5	Spectrogram 1	1	28.863633858	35.227269669	6583.100	6959.200	BIO	INSECT	
6	Waveform 1	1	40.568178297	45.170450624	6658.300	6921.600	BIO	INSECT	
6	Spectrogram 1	1	40.568178297	45.170450624	6658.300	6921.600	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	3385.600	3837.000	BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	3385.600	3837.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	4288.400	4627.000	BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	4288.400	4627.000	BIO	INSECT	
9	Waveform 1	1	45.056814271	59.488631200	4589.300	5492.200	BIO	AVEVOC	
9	Spectrogram 1	1	45.056814271	59.488631200	4589.300	5492.200	BIO	AVEVOC	
10	Waveform 1	1	18.693180196	31.136360934	1090.900	2219.400	BIO	AVEVOC	CAMGRY
10	Spectrogram 1	1	18.693180196	31.136360934	1090.900	2219.400	BIO	AVEVOC	CAMGRY
11	Waveform 1	1	49.829541129	55.056813403	677.100	1542.300	BIO	AVEVOC	ORT_SP
11	Spectrogram 1	1	49.829541129	55.056813403	677.100	1542.300	BIO	AVEVOC	ORT_SP
